MIN;AVG;MAX
3;106;129
13;100;117
78;105;116
62;102;114
78;105;114
80;105;114
67;104;120
76;103;120
75;105;116
77;106;117
71;102;116
79;104;118
74;103;118
74;104;123
77;105;118
79;105;120
78;105;118
71;98;117
71;98;115
79;106;122
77;105;117
