MIN;AVG;MAX
3;20;50
34;102;124
36;107;123
35;106;122
84;112;124
89;113;124
10;109;123
64;109;129
89;115;132
84;110;123
72;108;122
75;105;122
82;108;121
90;110;125
81;107;123
81;107;122
82;111;132
62;103;123
94;112;123
66;108;123
72;102;117
53;103;124
88;109;125
87;111;127
83;111;130
