MIN;AVG;MAX
3;97;118
39;98;114
73;101;112
71;100;112
29;94;109
48;91;107
16;83;105
50;89;107
51;71;97
58;89;108
78;97;110
77;99;110
40;98;113
42;89;105
44;88;108
6;86;109
72;97;110
50;102;114
6;94;113
40;94;113
8;73;111
8;85;111
8;84;114
13;91;115
38;87;109
50;76;109
