MIN;AVG;MAX
3;73;112
43;106;126
12;107;119
90;110;120
87;109;119
89;109;120
81;107;120
62;109;126
64;106;126
91;109;119
62;99;122
56;102;122
82;108;121
83;104;121
28;100;120
58;96;123
82;109;130
77;110;128
51;96;120
71;104;121
23;97;121
67;101;116
50;94;116
76;105;117
37;104;122
34;103;122
69;97;115
71;100;113
59;101;116
12;85;115
42;82;114
46;89;125
48;88;116
47;88;121
43;82;116
43;82;115
45;86;116
47;86;116
50;82;118
46;83;123
41;82;112
43;76;114
49;85;116
13;82;120
44;77;118
42;75;109
50;87;124
39;80;116
37;85;125
36;90;124
42;88;121
31;83;118
45;92;123
38;78;113
40;80;119
