MIN;AVG;MAX
3;101;125
42;102;115
81;105;114
82;106;115
81;105;115
79;104;115
12;102;114
66;103;119
81;105;120
81;105;116
51;94;113
49;92;112
76;101;115
63;101;115
77;103;117
74;100;115
77;103;120
76;101;116
47;101;114
67;103;116
75;105;114
78;103;118
