MIN;AVG;MAX
3;103;132
40;99;115
77;103;116
80;106;116
44;104;117
71;98;112
10;98;110
56;93;116
64;93;110
52;86;105
77;100;112
66;95;110
67;91;105
62;92;106
72;91;106
72;97;110
78;102;114
80;102;113
58;99;114
61;99;113
80;102;113
65;95;118
61;85;109
67;88;108
55;80;100
55;68;75
59;92;112
62;95;115
83;105;116
77;104;116
67;104;118
75;103;115
62;88;117
54;90;109
