MIN;AVG;MAX
3;96;125
34;98;114
76;100;114
83;103;113
76;101;114
84;105;116
61;101;114
62;104;122
72;101;119
77;101;113
69;98;113
88;104;115
85;104;115
78;104;114
82;104;119
86;106;119
80;100;113
85;100;111
80;98;113
79;100;112
84;98;111
57;95;112
