MIN;AVG;MAX
3;104;130
13;101;115
75;104;116
79;105;119
78;105;115
80;105;115
65;99;116
71;100;118
72;103;119
77;105;116
79;104;116
59;105;118
62;99;120
76;100;116
71;100;117
50;94;114
68;99;114
60;99;118
60;97;113
